lp,Data,Pora roku,Kwartał,Miesiąc,Tydzień,Dzień tygodnia,Dzień miesiąca,Pora zaśnięcia,Godzina zaśnięcia,Minuty zaśnięcia,Pora wybudzenia,Godzina wybudzenia,Minuty wybudzenia,Różnica,h różnica,min różnica,Różnica (minuty),Liczba wybudzeń,Liczba drzemek,Drzemki (minuty),Długość snu ogółem (podstawa + drzemki),DS ogółem (h),DS ogółem (minuty),DS ogółem (łącznie w min),minuty w łóżku gdy nie spałem,czy zasnąłem po północy?
295,2024-10-21,4,4,10,43,2,21,23:58,23,58,05:07,5,7,05:09,5,9,309,4,0,0,04:39:00,4,39,279,30,FALSE
296,2024-10-22,4,4,10,43,3,22,22:43,22,43,07:11,7,11,08:28,8,28,508,5,0,0,06:28:00,6,28,388,120,FALSE
297,2024-10-23,4,4,10,43,4,23,21:21,21,21,04:41,4,41,07:20,7,20,440,6,1,54,07:33:00,7,33,453,41,FALSE
298,2024-10-24,4,4,10,43,5,24,23:16,23,16,06:29,6,29,07:13,7,13,433,5,2,45,06:00:00,6,0,360,118,FALSE
299,2024-10-25,4,4,10,43,6,25,22:08,22,8,04:34,4,34,06:26,6,26,386,5,0,0,06:08:00,6,8,368,18,FALSE
300,2024-10-26,4,4,10,43,7,26,22:58,22,58,06:51,6,51,07:53,7,53,473,9,0,0,06:59:00,6,59,419,54,FALSE
301,2024-10-27,4,4,10,44,1,27,23:21,23,21,08:16,8,16,08:55,8,55,535,10,0,0,08:14:00,8,14,494,41,FALSE
302,2024-10-28,4,4,10,44,2,28,22:28,22,28,04:57,4,57,06:29,6,29,389,3,0,0,06:13:00,6,13,373,16,FALSE
303,2024-10-29,4,4,10,44,3,29,22:46,22,46,06:58,6,58,08:12,8,12,492,9,0,0,06:03:00,6,3,363,129,FALSE
304,2024-10-30,4,4,10,44,4,30,22:04,22,4,06:12,6,12,08:08,8,8,488,9,0,0,07:32:00,7,32,452,36,FALSE
305,2024-10-31,4,4,10,44,5,31,23:16,23,16,06:24,6,24,07:08,7,8,428,5,0,0,06:42:00,6,42,402,26,FALSE
306,2024-11-01,4,4,11,44,6,1,22:16,22,16,06:58,6,58,08:42,8,42,522,6,3,67,09:08:00,9,8,548,41,FALSE
307,2024-11-02,4,4,11,44,7,2,22:44,22,44,07:03,7,3,08:19,8,19,499,9,0,0,07:40:00,7,40,460,39,FALSE
308,2024-11-03,4,4,11,45,1,3,21:47,21,47,07:30,7,30,09:43,9,43,583,8,0,0,08:51:00,8,51,531,52,FALSE
309,2024-11-04,4,4,11,45,2,4,21:24,21,24,05:47,5,47,08:23,8,23,503,6,0,0,07:15:00,7,15,435,68,FALSE
310,2024-11-05,4,4,11,45,3,5,22:35,22,35,03:54,3,54,05:19,5,19,319,3,0,0,04:43:00,4,43,283,36,FALSE
311,2024-11-06,4,4,11,45,4,6,23:05,23,5,08:41,8,41,09:36,9,36,576,9,0,0,08:27:00,8,27,507,69,FALSE
312,2024-11-07,4,4,11,45,5,7,23:51,23,51,06:27,6,27,06:36,6,36,396,5,1,38,05:50:00,5,50,350,84,FALSE
313,2024-11-08,4,4,11,45,6,8,23:10,23,10,06:33,6,33,07:23,7,23,443,4,0,0,06:08:00,6,8,368,75,FALSE
314,2024-11-09,4,4,11,45,7,9,23:28,23,28,08:24,8,24,08:56,8,56,536,10,0,0,08:05:00,8,5,485,51,FALSE
315,2024-11-10,4,4,11,46,1,10,23:40,23,40,07:29,7,29,07:49,7,49,469,5,0,0,07:25:00,7,25,445,24,FALSE
316,2024-11-11,4,4,11,46,2,11,00:34,0,34,08:17,8,17,07:43,7,43,463,7,0,0,05:55:00,5,55,355,108,TRUE
317,2024-11-12,4,4,11,46,3,12,00:11,0,11,05:48,5,48,05:37,5,37,337,4,0,0,05:14:00,5,14,314,23,TRUE
318,2024-11-13,4,4,11,46,4,13,22:36,22,36,07:17,7,17,08:41,8,41,521,6,0,0,05:23:00,5,23,323,198,FALSE
319,2024-11-14,4,4,11,46,5,14,00:10,0,10,07:37,7,37,07:27,7,27,447,5,0,0,06:21:00,6,21,381,66,TRUE
320,2024-11-15,4,4,11,46,6,15,01:26,1,26,06:28,6,28,05:02,5,2,302,4,2,95,06:28:00,6,28,388,9,TRUE
321,2024-11-16,4,4,11,46,7,16,23:31,23,31,07:55,7,55,08:24,8,24,504,6,0,0,07:40:00,7,40,460,44,FALSE
322,2024-11-17,4,4,11,47,1,17,23:39,23,39,08:22,8,22,08:43,8,43,523,7,0,0,07:56:00,7,56,476,47,FALSE
323,2024-11-18,4,4,11,47,2,18,22:47,22,47,08:14,8,14,09:27,9,27,567,11,0,0,08:46:00,8,46,526,41,FALSE
324,2024-11-19,4,4,11,47,3,19,00:24,0,24,06:47,6,47,06:23,6,23,383,6,0,0,05:46:00,5,46,346,37,TRUE
325,2024-11-20,4,4,11,47,4,20,00:33,0,33,08:39,8,39,08:06,8,6,486,7,0,0,07:18:00,7,18,438,48,TRUE
326,2024-11-21,4,4,11,47,5,21,00:04,0,4,06:26,6,26,06:22,6,22,382,6,0,0,05:55:00,5,55,355,27,TRUE
327,2024-11-22,4,4,11,47,6,22,23:26,23,26,06:26,6,26,07:00,7,0,420,8,0,0,06:32:00,6,32,392,28,FALSE
328,2024-11-23,4,4,11,47,7,23,23:08,23,8,06:40,6,40,07:32,7,32,452,7,0,0,07:19:00,7,19,439,13,FALSE
329,2024-11-24,4,4,11,48,1,24,22:32,22,32,07:51,7,51,09:19,9,19,559,10,0,0,08:55:00,8,55,535,24,FALSE
330,2024-11-25,4,4,11,48,2,25,23:17,23,17,05:59,5,59,06:42,6,42,402,5,0,0,06:21:00,6,21,381,21,FALSE
